,comorb_level,rr_config,dataset_type,model,roc_auc,pr_auc,accuracy
130,0.6,geno_10_mt_5,var,logit,0.594964874121853,0.5895560002807698,0.58
131,0.6,geno_10_mt_5,var,logit,0.580277006925173,0.5781391512051552,0.5725
132,0.6,geno_10_mt_5,var,logit,0.6072151803795095,0.6126633423467746,0.5825
133,0.6,geno_10_mt_5,var,logit,0.5998149953748844,0.577561394027768,0.575
134,0.6,geno_10_mt_5,var,logit,0.652428810720268,0.6134441196219804,0.63
135,0.6,geno_10_mt_5,var,logit,0.6056276406910172,0.5762967429111302,0.59
136,0.6,geno_10_mt_5,var,logit,0.5772019300482512,0.5640525648002681,0.555
137,0.6,geno_10_mt_5,var,logit,0.614852871321783,0.5865343762529094,0.5875
138,0.6,geno_10_mt_5,var,logit,0.5924648116202905,0.5740553429521464,0.57
139,0.6,geno_10_mt_5,var,logit,0.588427210680267,0.5534740095788557,0.5675
140,0.6,geno_10_mt_5,var,logit,0.6602540063501587,0.6563203887648132,0.635
141,0.6,geno_10_mt_5,var,logit,0.5863771594289857,0.5619743471070858,0.545
