AVG	SEARCHED
9.5	_EPS_0.014_Samp_155
9.5	_EPS_0.014_Samp_157
9.25	_EPS_0.014_Samp_159
9.25	_EPS_0.014_Samp_161
40.958333333333336	_EPS_0.016_Samp_3
29.666666666666668	_EPS_0.016_Samp_5
24.666666666666668	_EPS_0.016_Samp_7
21.166666666666668	_EPS_0.016_Samp_9
19.25	_EPS_0.016_Samp_11
17.166666666666668	_EPS_0.016_Samp_13
15.291666666666666	_EPS_0.016_Samp_15
38.75	_EPS_0.016_Samp_17
34.75	_EPS_0.016_Samp_19
31.5	_EPS_0.016_Samp_21
30.25	_EPS_0.016_Samp_23
28.75	_EPS_0.016_Samp_25
27.75	_EPS_0.016_Samp_27
27.25	_EPS_0.016_Samp_29
25.25	_EPS_0.016_Samp_31
24.25	_EPS_0.016_Samp_33
23.25	_EPS_0.016_Samp_35
22.5	_EPS_0.016_Samp_37
21.0	_EPS_0.016_Samp_39
20.0	_EPS_0.016_Samp_41
19.0	_EPS_0.016_Samp_43
18.75	_EPS_0.016_Samp_45
18.25	_EPS_0.016_Samp_47
17.75	_EPS_0.016_Samp_49
17.0	_EPS_0.016_Samp_51
16.75	_EPS_0.016_Samp_53
16.25	_EPS_0.016_Samp_55
15.5	_EPS_0.016_Samp_57
15.75	_EPS_0.016_Samp_59
15.5	_EPS_0.016_Samp_61
15.25	_EPS_0.016_Samp_63
15.25	_EPS_0.016_Samp_65
15.0	_EPS_0.016_Samp_67
14.5	_EPS_0.016_Samp_69
14.25	_EPS_0.016_Samp_71
14.25	_EPS_0.016_Samp_73
14.5	_EPS_0.016_Samp_75
13.75	_EPS_0.016_Samp_77
13.75	_EPS_0.016_Samp_79
13.5	_EPS_0.016_Samp_81
13.5	_EPS_0.016_Samp_83
13.25	_EPS_0.016_Samp_85
13.0	_EPS_0.016_Samp_87
13.0	_EPS_0.016_Samp_89
12.5	_EPS_0.016_Samp_91
12.5	_EPS_0.016_Samp_93
12.25	_EPS_0.016_Samp_95
12.25	_EPS_0.016_Samp_97
12.25	_EPS_0.016_Samp_99
12.0	_EPS_0.016_Samp_101
12.0	_EPS_0.016_Samp_103
12.0	_EPS_0.016_Samp_105
12.0	_EPS_0.016_Samp_107
12.0	_EPS_0.016_Samp_109
12.0	_EPS_0.016_Samp_111
12.0	_EPS_0.016_Samp_113
11.75	_EPS_0.016_Samp_115
11.75	_EPS_0.016_Samp_117
11.75	_EPS_0.016_Samp_119
11.25	_EPS_0.016_Samp_121
11.25	_EPS_0.016_Samp_123
11.25	_EPS_0.016_Samp_125
